selected_file,scanned_residues,reported_variants,completeness,completeness_group
urn-mavedb-00000465-a-2.scores.csv,47,1028,1.0936170212765957,c > 1
urn-mavedb-00000140-a-2.scores.csv,66,2170,1.643939393939394,c > 1
urn-mavedb-00000359-a-1.scores.csv,30,632,1.0533333333333332,c > 1
urn-mavedb-00001239-a-5.scores.csv,955,14054,0.7358115183246073,0.7 ≤ c < 0.8
urn-mavedb-00000129-0-1.scores.csv,62,1364,1.1,c > 1
urn-mavedb-00000235-a-1.scores.csv,58,1630,1.4051724137931034,c > 1
urn-mavedb-00000318-a-2.scores.csv,66,1448,1.096969696969697,c > 1
urn-mavedb-00001037-a-1.scores.csv,71,1390,0.9788732394366197,0.9 ≤ c < 1
urn-mavedb-00000205-a-1.scores.csv,72,3384,2.35,c > 1
urn-mavedb-00000097-j-1.scores.csv,1,277,13.85,c > 1
urn-mavedb-00000241-a-1.scores.csv,48,950,0.9895833333333334,0.9 ≤ c < 1
urn-mavedb-00000294-0-1.scores.csv,55,1205,1.0954545454545455,c > 1
urn-mavedb-00000574-a-1.scores.csv,43,940,1.0930232558139534,c > 1
urn-mavedb-00000500-a-1.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000453-0-1.scores.csv,64,1396,1.090625,c > 1
urn-mavedb-00001104-a-1.scores.csv,84,1556,0.9261904761904762,0.9 ≤ c < 1
urn-mavedb-00000270-0-1.scores.csv,68,2577,1.8948529411764705,c > 1
urn-mavedb-00000672-f-2.scores.csv,317,6242,0.9845425867507887,0.9 ≤ c < 1
urn-mavedb-00000657-a-1.scores.csv,310,6151,0.9920967741935484,0.9 ≤ c < 1
urn-mavedb-00000474-a-2.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000422-a-1.scores.csv,56,1587,1.4169642857142857,c > 1
urn-mavedb-00000232-a-1.scores.csv,56,2281,2.036607142857143,c > 1
urn-mavedb-00001128-a-1.scores.csv,62,1229,0.9911290322580645,0.9 ≤ c < 1
urn-mavedb-00000495-a-2.scores.csv,43,941,1.094186046511628,c > 1
urn-mavedb-00000354-a-1.scores.csv,37,1043,1.4094594594594594,c > 1
urn-mavedb-00000501-0-1.scores.csv,43,938,1.0906976744186045,c > 1
urn-mavedb-00000628-a-2.scores.csv,70,1539,1.0992857142857142,c > 1
urn-mavedb-00000468-a-1.scores.csv,43,1268,1.4744186046511627,c > 1
