train_size,train_RMSE,train_MAE,train_R2,train_r,test_size,test_RMSE,test_MAE,test_R2,test_r,gene_id,cut_percent
688,0.020242245441751527,0.007430664938247563,0.991335289548462,0.9963559364402192,173,0.12612144291201258,0.07573874318680913,0.66662275588413,0.8306982507639251,909,0.2
603,0.010854950341259356,0.003266108237396675,0.997004392098422,0.9986960003527446,151,0.11154935742089314,0.07713629700535078,0.6651137363733645,0.8204356532322922,909,0.3
1222,0.05812607654591231,0.035061355545257696,0.9392838753569925,0.97483330913583,306,0.12935709626947237,0.09211626404670066,0.5998547376587998,0.7835305749019672,825,0.1
1086,0.0647369569682994,0.03974118386695688,0.8428716506708093,0.9442186175888782,272,0.10087987080639606,0.07588936189627905,0.4266665040846317,0.6628498238591655,825,0.2
950,0.030298817763916505,0.017858548602813627,0.939646943974225,0.9793447776191236,238,0.10206816107988424,0.0739923388739157,0.32740814693406384,0.5761487714368992,825,0.3
660,0.06788482083044994,0.04888114894188834,0.9503354966540504,0.9801259351982441,166,0.18898591866584039,0.14424365519774338,0.6682806810759251,0.8283246646937461,598,0.1
587,0.03855611232854849,0.027224950665713513,0.9812017739498382,0.9926540438508474,147,0.20307580477682377,0.14684641322552353,0.537976953118183,0.7365092740879104,598,0.2
513,0.0373700956167119,0.02716592216510592,0.9795469944630665,0.9924349293842635,129,0.1680340439488135,0.12931812550331556,0.5577140068224828,0.7477152784227198,598,0.3
658,0.05583391435906333,0.040485881460002544,0.9726322916315345,0.9890773501102054,165,0.21318853856728617,0.16347470455089533,0.6591000091938266,0.8188080422705363,913,0.1
585,0.12951530214782048,0.10092880005494703,0.8468557068279766,0.9401596159300525,147,0.22597629086081794,0.17990343704597803,0.46848313095879623,0.6906173176045857,913,0.2
