gene_id,urn,N_mutations_per_position,vefill-min_pears,vefill-max_pears
85,urn:mavedb:00000048-c-1,16,0.5379787325,
85,urn:mavedb:00000048-c-1,17,0.5434919034,
85,urn:mavedb:00000048-c-1,18,0.5414734755,
85,urn:mavedb:00000048-c-1,20,0.5494459494,
100,urn:mavedb:00000054-a-1,1,0.4302661221,0.5497325656
100,urn:mavedb:00000054-a-1,2,0.6064277271,0.7282223845
100,urn:mavedb:00000054-a-1,3,0.6541117167,0.7676999971
100,urn:mavedb:00000054-a-1,4,0.6931022814,0.7809053063
100,urn:mavedb:00000054-a-1,5,0.7504802618,0.7967740004
100,urn:mavedb:00000054-a-1,6,0.7809403101,0.8194601106
100,urn:mavedb:00000054-a-1,7,0.7825147657,0.8205602191
100,urn:mavedb:00000054-a-1,8,0.7973517313,0.8262114519
100,urn:mavedb:00000054-a-1,9,0.7956411039,0.8394104903
100,urn:mavedb:00000054-a-1,10,0.8024107801,0.8322030687
100,urn:mavedb:00000054-a-1,11,0.7956671415,0.8397466072
100,urn:mavedb:00000054-a-1,12,0.8038391301,0.8431190452
100,urn:mavedb:00000054-a-1,13,0.8046170888,0.849051354
100,urn:mavedb:00000054-a-1,14,0.8104092475,0.855491425
100,urn:mavedb:00000054-a-1,15,0.8077286638,0.8532283901
100,urn:mavedb:00000054-a-1,16,0.8111671633,0.8534595746
100,urn:mavedb:00000054-a-1,17,0.8158849767,0.8560206029
100,urn:mavedb:00000054-a-1,18,0.8161381685,0.8542395031
100,urn:mavedb:00000054-a-1,20,0.8127190322,0.8534948721
104,urn:mavedb:00000057-a-1,1,0.5609781521,0.5078970822
104,urn:mavedb:00000057-a-1,2,0.4791056914,0.5885813673
104,urn:mavedb:00000057-a-1,3,0.6435968489,0.6269454343
104,urn:mavedb:00000057-a-1,4,0.7061727755,0.6596245609
104,urn:mavedb:00000057-a-1,5,0.7495073055,0.6623079017
104,urn:mavedb:00000057-a-1,6,0.7117257095,0.7012693253
104,urn:mavedb:00000057-a-1,7,0.7469024988,0.6869913115
104,urn:mavedb:00000057-a-1,8,0.7473079393,0.6947934271
104,urn:mavedb:00000057-a-1,9,0.7475352766,0.7045666565
104,urn:mavedb:00000057-a-1,10,0.7485787503,0.6912229892
104,urn:mavedb:00000057-a-1,11,0.7656993346,0.7104283716
104,urn:mavedb:00000057-a-1,12,0.7723452313,0.702805163
104,urn:mavedb:00000057-a-1,13,0.7757275896,0.7029728672
104,urn:mavedb:00000057-a-1,14,0.7768173355,0.7066762407
104,urn:mavedb:00000057-a-1,15,0.7656901714,0.7073243151
104,urn:mavedb:00000057-a-1,16,0.7692565576,0.714094926
104,urn:mavedb:00000057-a-1,17,0.7890876975,0.7113937271
104,urn:mavedb:00000057-a-1,18,0.7921633867,0.7146622668
104,urn:mavedb:00000057-a-1,20,0.7764975929,0.7072963388
105,urn:mavedb:00000057-c-1,1,0.3620136769,0.3510753005
105,urn:mavedb:00000057-c-1,2,0.3969397115,0.5167307028
105,urn:mavedb:00000057-c-1,3,0.5235140809,0.5838931111
105,urn:mavedb:00000057-c-1,4,0.6076792499,0.541124886
105,urn:mavedb:00000057-c-1,5,0.6337599949,0.6111349122
105,urn:mavedb:00000057-c-1,6,0.6294241454,0.5894289758
105,urn:mavedb:00000057-c-1,7,0.6489426881,0.6121990131
105,urn:mavedb:00000057-c-1,8,0.6652288953,0.5912343028
105,urn:mavedb:00000057-c-1,9,0.6670478622,0.6732326322
105,urn:mavedb:00000057-c-1,10,0.6826556977,0.6492646751
