,completeness,repeat,dms_id,pred_score,envision_pred,fdms_pred,lasso_pred,row-mean_pred,wu2019_pred,vefill-min_pred,vefill-max_pred,vefill-min_pears_dyn_mean,vefill-max_pears_dyn_mean,5nn-blosum100_pears_any,5nn-blosum100_pears_3to5,5nn-blosum100_pears_5,5nn-functional_pears_any,5nn-functional_pears_3to5,5nn-functional_pears_5
1088,0.5,0,urn:mavedb:00000048-c-1,0.3217105427,0.313308493,0.2093321724,0.2341819867,0.2721040159,0.2897514643,0.5545237669,,0.5338507285,,0.2533348881,0.2533348881,0.2594671506,0.3568183388,0.3568183388,0.3648146112
62,0.5,0,urn:mavedb:00000054-a-1,0.7665392974,0.7254951502,0.6673900415,0.6777877738,0.6206535398,0.6862290849,0.8016252041,0.8535662719,0.7860805698,0.8287378035,0.610437505,0.6184577898,0.6118112387,0.6809996585,0.6890206784,0.6895158073
567,0.5,0,urn:mavedb:00000057-a-1,0.8360237626,0.7992322142,0.8037107183,0.7582662311,0.7294641169,0.7574637343,0.765532113,0.6980331031,0.7578868914,0.6830077349,0.7072817493,0.7131403085,0.7134677047,0.7602202723,0.7670543625,0.7669849547
716,0.5,0,urn:mavedb:00000057-b-1,0.7124071404,0.631232638,0.6833701382,0.6299572651,0.7184863099,0.6715005056,0.7444287276,0.7525954535,0.7336034732,0.7540941771,0.7399463608,0.7399463608,0.7417821264,0.7470761708,0.7470761708,0.7487417439
1119,0.5,0,urn:mavedb:00000057-c-1,0.7154422333,0.6930439296,0.632811738,0.595607959,0.6521793333,0.6661903295,0.6822413858,0.6531240809,0.6710548413,0.655635431,0.4047320346,0.4047320346,0.4142214497,0.4906532211,0.4906532211,0.4958085761
1189,0.5,0,urn:mavedb:00000058-a-1,0.9098567539,0.8834178326,0.8856934473,0.8408474813,0.5776242285,0.721148032,0.898612757,,0.8888081841,,0.6333153284,0.6333153284,0.8264997332,0.6441174295,0.6441174295,0.8812816433
1114,0.5,0,urn:mavedb:00000068-b-1,0.7187224379,0.7020488869,0.675419963,0.6393709541,0.6845580347,0.6746037794,0.7484712556,0.7230992446,0.7270808112,0.7066019001,0.6964092665,0.6969418892,0.6876232612,0.7264539181,0.7273062658,0.7208881007
760,0.5,0,urn:mavedb:00000068-c-1,0.8016187131,0.7606280272,0.7137254475,0.6955190363,0.725008661,0.7498524913,0.8301961701,0.8078981076,0.8185301308,0.7920379486,0.6422148747,0.6422148747,0.6388166151,0.7059525458,0.7059525458,0.7030994908
292,0.5,0,urn:mavedb:00000096-a-1,0.6413343171,0.6056907819,0.5922017751,0.5969904256,0.6058449002,0.5860537897,0.6772521729,0.6715399835,0.6554328258,0.6530274995,0.5862232648,0.585685875,0.5852792293,0.6114041798,0.6109007951,0.6109670237
741,0.5,0,urn:mavedb:00000106-a-1,-0.07955663106,0.1145267152,-0.1892290906,-0.1371452097,0.1012103996,-0.1201066483,0.442077732,-0.1942784499,0.4462431024,-0.1942784499,0.08402952058,0.08402952058,0.08402952058,0.5884996701,0.5884996701,0.5884996701
538,0.5,0,urn:mavedb:00000106-b-1,-0.1137881696,-0.07509316415,-0.1400458859,0.1037985002,-0.08438095322,0.6023079357,0.6719239338,-0.1615126632,0.6637056819,-0.1615126632,0.03396659046,0.03396659046,0.03396659046,0.6369582847,0.6369582847,0.6369582847
