gene_id,cut_percent,train_size,train_rmse,train_mae,train_r2,train_r,test_size,test_rmse,test_mae,test_r2,test_r
931,0.1,869,0.04491185895,0.03164482891,0.9768616301,0.9902172116,218,0.1727150659,0.129019865,0.6875625779,0.8320668845
931,0.2,772,0.0611878465,0.04424560793,0.9532157406,0.9800641906,194,0.155183311,0.1140212175,0.6957918767,0.8377328436
931,0.3,676,0.02770729966,0.01929882825,0.9890119311,0.9952487064,169,0.1321335359,0.1006206615,0.7063243854,0.8410806774
681,0.1,745,0.0253928753,0.01208216037,0.9922300337,0.9965238872,187,0.1436325475,0.106032398,0.7891858465,0.8898737199
681,0.2,662,0.02012450264,0.007853640325,0.9946133278,0.9975066168,166,0.1293221313,0.09771176871,0.8081753166,0.9022675614
681,0.3,580,0.04222621652,0.02767236784,0.9709195664,0.9869053434,145,0.1367208804,0.09948768863,0.8040694023,0.8999248753
720,0.1,1012,0.0181038829,0.007664554583,0.9929735851,0.9970999737,254,0.1174645128,0.08359209813,0.7637867139,0.8826422269
720,0.2,900,0.007815342504,0.002477979823,0.9982336216,0.9992699392,225,0.1156625567,0.08571476216,0.6477466739,0.8084772457
720,0.3,788,0.0720370303,0.0408318366,0.8311858171,0.942488081,197,0.128060683,0.08501955107,0.4356987324,0.6822347829
674,0.1,888,0.06795127927,0.04518127181,0.9545324598,0.9800651688,223,0.1585072153,0.109453958,0.7738435008,0.8824859744
674,0.2,790,0.02811814558,0.01637841127,0.9897475215,0.9956484417,198,0.1398542165,0.09665723401,0.714627413,0.8486986359
674,0.3,691,0.01991454983,0.0115739577,0.9916130358,0.9966909417,173,0.1195380999,0.08350034043,0.6841169749,0.8356363605
909,0.1,775,0.07697299749,0.04198178845,0.8991635335,0.9607674226,194,0.1398539578,0.08613753422,0.5468859436,0.7401650848
909,0.2,688,0.02024224544,0.007430664938,0.9913352895,0.9963559364,173,0.1261214429,0.07573874319,0.6666227559,0.8306982508
909,0.3,603,0.01085495034,0.003266108237,0.9970043921,0.9986960004,151,0.1115493574,0.07713629701,0.6651137364,0.8204356532
825,0.1,1222,0.05812607655,0.03506135555,0.9392838754,0.9748333091,306,0.1293570963,0.09211626405,0.5998547377,0.7835305749
825,0.2,1086,0.06473695697,0.03974118387,0.8428716507,0.9442186176,272,0.1008798708,0.0758893619,0.4266665041,0.6628498239
825,0.3,950,0.03029881776,0.0178585486,0.939646944,0.9793447776,238,0.1020681611,0.07399233887,0.3274081469,0.5761487714
598,0.1,660,0.06788482083,0.04888114894,0.9503354967,0.9801259352,166,0.1889859187,0.1442436552,0.6682806811,0.8283246647
598,0.2,587,0.03855611233,0.02722495067,0.9812017739,0.9926540439,147,0.2030758048,0.1468464132,0.5379769531,0.7365092741
598,0.3,513,0.03737009562,0.02716592217,0.9795469945,0.9924349294,129,0.1680340439,0.1293181255,0.5577140068,0.7477152784
913,0.1,658,0.05583391436,0.04048588146,0.9726322916,0.9890773501,165,0.2131885386,0.1634747046,0.6591000092,0.8188080423
913,0.2,585,0.1295153021,0.1009288001,0.8468557068,0.9401596159,147,0.2259762909,0.179903437,0.468483131,0.6906173176
913,0.3,512,0.04689881382,0.03466170846,0.978474208,0.991148348,128,0.21188137,0.1655772879,0.5630407874,0.7509857388
937,0.1,793,0.03846048962,0.02493155159,0.9831778064,0.9925661495,199,0.1431641897,0.09818640997,0.7557483943,0.8727977276
937,0.2,705,0.02476382034,0.01268509334,0.9924378824,0.9965227949,177,0.1340921269,0.09705960804,0.7625835489,0.8757283427
937,0.3,617,0.01938265857,0.009808650913,0.9948270543,0.9976734822,155,0.1129092219,0.08177271442,0.8024792728,0.8958420691
585,0.1,914,0.06375856769,0.04843675272,0.9604768506,0.9844605572,229,0.2015645907,0.1585304345,0.6140702966,0.7839650191
585,0.2,812,0.05377460734,0.03965612751,0.9700222194,0.9878667149,204,0.2015321701,0.15817631,0.6281523028,0.7980194068
585,0.3,711,0.02177967432,0.01537552008,0.9948744881,0.9979743772,178,0.1993390176,0.1563556325,0.6347678914,0.7998230056
900,0.1,951,0.00644850387,0.001707273921,0.9996942586,0.9998530313,238,0.2203118479,0.167482624,0.6034238836,0.7773297712
900,0.2,845,0.02293224799,0.01452567615,0.9957750764,0.9982182787,212,0.2010815803,0.1605264698,0.6700113215,0.8211622852
900,0.3,740,0.005876909388,0.001453629062,0.9997006645,0.9998557415,185,0.1855224502,0.1428221787,0.6855590057,0.8296828375
827,0.1,737,0.02585009978,0.01819761987,0.9945296823,0.9977168381,185,0.205227184,0.1605333808,0.6671913558,0.8177304196
827,0.2,656,0.1003912069,0.07646362957,0.915767353,0.964312612,164,0.2089633287,0.1692773541,0.5829413777,0.7734833522
827,0.3,573,0.1145863238,0.09104208002,0.8870181359,0.9535953609,144,0.2124974508,0.1601316628,0.522221946,0.7264270117
877,0.1,329,0.1239085763,0.08525793903,0.8537896796,0.9375227162,83,0.2385306675,0.1915126446,0.5346221705,0.7365065798
877,0.2,292,0.1057338451,0.07850620544,0.8897575994,0.9512668096,74,0.2198235175,0.1674366396,0.5171466902,0.7206779796
877,0.3,256,0.1218672022,0.09396759753,0.8394093898,0.9357049951,64,0.1611169138,0.1266774429,0.6530398604,0.815222858
925,0.1,892,0.09712778526,0.07209606686,0.92181997,0.9671965693,223,0.2046065614,0.1588927666,0.589194198,0.7697882475
925,0.2,792,0.01989144566,0.01166841404,0.9964887291,0.998479488,199,0.1622490781,0.1258920981,0.7420725012,0.864318338
925,0.3,693,0.05032547668,0.03679960646,0.9754608507,0.9894589418,174,0.1887271073,0.1419655672,0.6374420725,0.7990702216
844,0.1,716,0.08595763922,0.05942935846,0.9192280862,0.9662972255,179,0.1850635956,0.132822327,0.55267178,0.7435840667
844,0.2,636,0.01279779253,0.004352779327,0.9978858721,0.9990308007,160,0.1892793625,0.1385244731,0.5592760565,0.7479674575
844,0.3,556,0.1036776052,0.07182563017,0.8525009409,0.9410798227,140,0.1761754442,0.1294169452,0.4079260023,0.6596119222
595,0.1,716,0.02231472795,0.01501341246,0.9955640971,0.9982555552,180,0.1831576954,0.1458473806,0.7076079779,0.8483003291
595,0.2,636,0.04162886561,0.03124641839,0.984084103,0.9939324555,160,0.1792148427,0.1450223749,0.6818644534,0.8261517017
